,timestamp,date,source,symbol,open,total_volume
116,1604361600000,2020-11-03,coingecko,POLY_ETH,0.0001058672518768166,7154.447433760858
117,1604448000000,2020-11-04,coingecko,POLY_ETH,0.00010169002797583348,6427.730980681876
118,1604534400000,2020-11-05,coingecko,POLY_ETH,9.536568751722191e-05,2909.575232507803
119,1604016000000,2020-10-30,coingecko,REQ_ETH,4.488210465515202e-05,397.9767911145709
120,1604102400000,2020-10-31,coingecko,REQ_ETH,4.9162868392339524e-05,573.8056193106149
121,1604188800000,2020-11-01,coingecko,REQ_ETH,4.6839332478220163e-05,396.01017873237544
122,1604275200000,2020-11-02,coingecko,REQ_ETH,4.702297007009782e-05,285.8137586200383
123,1604361600000,2020-11-03,coingecko,REQ_ETH,4.7879762941400046e-05,336.8679322765749
124,1604448000000,2020-11-04,coingecko,REQ_ETH,4.639247489188929e-05,323.956505813458
125,1604534400000,2020-11-05,coingecko,REQ_ETH,4.622008585471828e-05,296.9240821210937
126,1604016000000,2020-10-30,coingecko,RDN_ETH,0.0003819362667503999,2368.1422589795884
127,1604102400000,2020-10-31,coingecko,RDN_ETH,0.00041115761546950207,494.49630838366716
128,1604188800000,2020-11-01,coingecko,RDN_ETH,0.0003851929555140971,5851.312215548291
129,1604275200000,2020-11-02,coingecko,RDN_ETH,0.00036607168578382853,2151.4005964154467
130,1604361600000,2020-11-03,coingecko,RDN_ETH,0.00039968389633805734,284.80037658935515
131,1604448000000,2020-11-04,coingecko,RDN_ETH,0.0003470291275310149,2234.0895682883315
132,1604534400000,2020-11-05,coingecko,RDN_ETH,0.0003877500171610515,143.8738188338617
133,1604016000000,2020-10-30,coingecko,RCN_ETH,9.988532962194572e-05,9570.763511693965
134,1604102400000,2020-10-31,coingecko,RCN_ETH,9.609381170295957e-05,805.475909692434
135,1604188800000,2020-11-01,coingecko,RCN_ETH,9.614822062674638e-05,1345.613769950684
136,1604275200000,2020-11-02,coingecko,RCN_ETH,9.790758647662559e-05,1406.8902546396328
137,1604361600000,2020-11-03,coingecko,RCN_ETH,9.971578927403508e-05,475.5844264689321
138,1604448000000,2020-11-04,coingecko,RCN_ETH,9.960957072845537e-05,903.1132335348583
139,1604534400000,2020-11-05,coingecko,RCN_ETH,9.114761027214045e-05,509.11625874572564
140,1604016000000,2020-10-30,coingecko,MKR_ETH,1.3823441765341746,91141.54428712049
141,1604102400000,2020-10-31,coingecko,MKR_ETH,1.3570313666986786,109724.96420934242
142,1604188800000,2020-11-01,coingecko,MKR_ETH,1.3572583235641342,79921.43441246104
143,1604275200000,2020-11-02,coingecko,MKR_ETH,1.3646626195639657,74859.4788887638
144,1604361600000,2020-11-03,coingecko,MKR_ETH,1.3637525398936943,93896.11153147652
145,1604448000000,2020-11-04,coingecko,MKR_ETH,1.3430801350265251,74711.09234540981
146,1604534400000,2020-11-05,coingecko,MKR_ETH,1.299995168241189,71562.46437278006
147,1604016000000,2020-10-30,coingecko,ANT_ETH,0.007806302778021928,50131.75871487988
148,1604102400000,2020-10-31,coingecko,ANT_ETH,0.00795617004563787,55357.509231413904
149,1604188800000,2020-11-01,coingecko,ANT_ETH,0.008000873176139015,54747.44165698126
150,1604275200000,2020-11-02,coingecko,ANT_ETH,0.00775192099218233,40531.810268610614
151,1604361600000,2020-11-03,coingecko,ANT_ETH,0.007849266284101257,42205.62378425114
152,1604448000000,2020-11-04,coingecko,ANT_ETH,0.007377782774454726,40860.05451356623
153,1604534400000,2020-11-05,coingecko,ANT_ETH,0.006905127592035519,37998.30241041264
154,1604016000000,2020-10-30,coingecko,PNK_ETH,0.0001660574514338499,1609.1372832909215
155,1604102400000,2020-10-31,coingecko,PNK_ETH,0.00015866881381753202,1095.4728267830658
156,1604188800000,2020-11-01,coingecko,PNK_ETH,0.00015820012179440624,788.8341779741518
157,1604275200000,2020-11-02,coingecko,PNK_ETH,0.00015499575124342305,914.5814392615265
158,1604361600000,2020-11-03,coingecko,PNK_ETH,0.00015689905516015002,832.7616697864049
159,1604448000000,2020-11-04,coingecko,PNK_ETH,0.0001462381129037798,1188.7153178509636
160,1604534400000,2020-11-05,coingecko,PNK_ETH,0.00015079475711417972,1089.101302522418
161,1604016000000,2020-10-30,coingecko,GNO_ETH,0.11813057654514389,2620.606089084499
162,1604102400000,2020-10-31,coingecko,GNO_ETH,0.1267841479303315,1709.3689375687832
163,1604188800000,2020-11-01,coingecko,GNO_ETH,0.12620811633524,1033.6756751764685
164,1604275200000,2020-11-02,coingecko,GNO_ETH,0.12307577490025327,1072.0103813506403
165,1604361600000,2020-11-03,coingecko,GNO_ETH,0.1265570302416872,1089.296179565103
166,1604448000000,2020-11-04,coingecko,GNO_ETH,0.13629455901084656,1681.8780379529835
167,1604534400000,2020-11-05,coingecko,GNO_ETH,0.12844236540546553,1290.451925496546
168,1604016000000,2020-10-30,coingecko,GEN_ETH,0.0002797531500961586,409.42214368022576
169,1604102400000,2020-10-31,coingecko,GEN_ETH,0.00024846823121714656,118.5114966659576
170,1604188800000,2020-11-01,coingecko,GEN_ETH,0.0002545405223513811,510.50843352645364
171,1604275200000,2020-11-02,coingecko,GEN_ETH,0.0002901276708130916,518.887620257118
172,1604361600000,2020-11-03,coingecko,GEN_ETH,0.000343795228719023,814.7750972683516
173,1604448000000,2020-11-04,coingecko,GEN_ETH,0.0003357690033097037,647.186688177809
174,1604534400000,2020-11-05,coingecko,GEN_ETH,0.000314946852948191,644.4494157390998
175,1604016000000,2020-10-30,coingecko,MLN_ETH,0.052226141208952415,6908.143927730292
176,1604102400000,2020-10-31,coingecko,MLN_ETH,0.05434053249383346,6508.819919344577
177,1604188800000,2020-11-01,coingecko,MLN_ETH,0.05582034725570457,5202.110513046012
178,1604275200000,2020-11-02,coingecko,MLN_ETH,0.05531056045021147,6062.727014560554
179,1604361600000,2020-11-03,coingecko,MLN_ETH,0.05690134894474245,5829.034393427728
180,1604448000000,2020-11-04,coingecko,MLN_ETH,0.05615290662760242,3530.851351049164
181,1604534400000,2020-11-05,coingecko,MLN_ETH,0.051222341019925344,3489.743707115211
182,1604016000000,2020-10-30,coingecko,UBT_ETH,0.0008800809925647,2741.142866751571
183,1604102400000,2020-10-31,coingecko,UBT_ETH,0.0008655030341965061,1547.629532853839
184,1604188800000,2020-11-01,coingecko,UBT_ETH,0.0009106024462081408,2074.9024389892943
185,1604275200000,2020-11-02,coingecko,UBT_ETH,0.0008765250508324683,1781.0318850116423
186,1604361600000,2020-11-03,coingecko,UBT_ETH,0.0008454241541648085,2905.1814781800176
187,1604448000000,2020-11-04,coingecko,UBT_ETH,0.0008771098713380354,2819.380799006955
188,1604534400000,2020-11-05,coingecko,UBT_ETH,0.0009513301989143413,4057.7853443247623
189,1604016000000,2020-10-30,coingecko,NMR_ETH,0.06213062421707417,10085.072945906986
190,1604102400000,2020-10-31,coingecko,NMR_ETH,0.06340356885064184,5920.55873422238
191,1604188800000,2020-11-01,coingecko,NMR_ETH,0.06003499382601739,11587.979289155632
192,1604275200000,2020-11-02,coingecko,NMR_ETH,0.05882991822150491,12793.177199369868
193,1604361600000,2020-11-03,coingecko,NMR_ETH,0.05986108538582844,7850.632234728429
194,1604448000000,2020-11-04,coingecko,NMR_ETH,0.06689322068297494,22332.38691879842
195,1604534400000,2020-11-05,coingecko,NMR_ETH,0.06069515761982895,13058.233800799544
196,1604016000000,2020-10-30,coingecko,LPT_ETH,0.00433953443336841,40.924102934293934
197,1604102400000,2020-10-31,coingecko,LPT_ETH,0.004487041081354872,41.161206219435684
198,1604188800000,2020-11-01,coingecko,LPT_ETH,0.004213642778256689,43.179155418458386
199,1604275200000,2020-11-02,coingecko,LPT_ETH,0.004172254578692359,23.77297013715901
200,1604361600000,2020-11-03,coingecko,LPT_ETH,0.004036295214281829,43.215029779228274
201,1604448000000,2020-11-04,coingecko,LPT_ETH,0.004127005689950438,33.32116858410388
202,1604534400000,2020-11-05,coingecko,LPT_ETH,0.0039593201896832835,41.7505270780619
203,1603497600000,2020-10-24,coingecko,XBASE_ETH,6.241751238676963e-05,8.482648040493448
